address,categories,city,country,key,lat,long,name,phones,postalCode,province,websites
2514 S W 34th Ave,"Beverages Wholesale & Manufacturers, Convenience Stores, Cigars Cigarettes & Tobacco Wholesale & Manufacturers, Beverages Retail, Breweries, General Merchandise Stores, Liquor Stores, Cigarettes & Tobacco, Cigar Cigarette & Tobacco Dealers",Amarillo,US,us/tx/amarillo/2514sw34thave,35.178496,-101.864166,34th Street Discount,8063524900,79109,TX,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ9Obm2-kGdXceWY3dpek4pjG7inYyCW3EkfV2Qi4ABA4TFTm0plDglai0o3yS8bx9m6zAEXnz9Y1kdY2Jdt0zUVoLwFokUFKZp3UG7E0Vqvy-h107BnzK5p1JrnhZkZUOxvhN_TQGrRVheVKVnn11JPm9-iPb8vec3CQ2g-iqp1FeZJGsX0uP-suTDFQ_4uEYHT_1fKwplKIoX9OQHEyrWvtePnt_lvWtNNp-QSKqV6r-qXxveCZUgLb5D4qnGi0To3JKI_qX3B8m6k34TZ1TwJXLRlYQr6WnlXr3z2kbl61bOiJLMDpklR0MAYBPuvB_A8c8EPrReFdDT8MTVgQITWqlptflSSMcpAAtNi27IPo&placement=listing_profile&cs_user=unknown&cs_session=2c5590c4e05e18cbacda7fa0bfe67dbcaa4befa6
7144 183rd St,Brewery,Tinley Park,US,us/il/tinleypark/7144183rdst/-545846830,,,350 Brewing,,60477,IL,350brewing.com
6511 Glenridge Park Pl 1,Brewers,Louisville,US,us/ky/louisville/6511glenridgeparkpl1,38.285751,-85.62943,3rd Turn Brewing,5024752127,40222,KY,
Bi State,Brewery,Delmar,US,us/de/delmar/bistate,,,3rd Wave Brewing Company,,19940,DE,
1220 S 8th St,"Brewery, Bar",St Louis,US,us/mo/stlouis/1220s8thst,,,4 Hands Brewing Co.,3144361559,63104,MO,http://4handsbrewery.com
8855 W 116th Cir,Brewery,Broomfield,US,us/co/broomfield/8855w116thcir,39.90648251,-105.0984737,4 Noses Brewing Company,7204602797,80021,CO,http://4nosesbrewing.com
1716 Topeka Dr,brewery,Norman,US,us/ok/norman/1716topekadr,,,405 Brewing Co,,73069,OK,
411 E Surrey Ct,"Bars & Clubs, Breweries, Food & Drink, Nightlife",Sellersville,US,us/pa/sellersville/411esurreyct,40.356213,-75.295456,411 Brewery,,18960,PA,
2729 Us Highway 411 S,"Convenience Stores, Restaurants, Breweries & Brew Pubs, Pipes & Smokers Articles, Beer & Ale, Cigar Cigarette & Tobacco-Wholesale & Manufacturers,, Cigar Cigarette & Tobacco Dealers,, Cigar Cigarette & Tobacco Dealers-retail",Maryville,US,us/tn/maryville/2729ushighway411s,35.71258,-84.02364,411 Discount Tobacco and Beer,8659840730,"37801-9547, 37801",TN,
25 Pine St,Brewery,E Aurora,US,us/ny/eaurora/25pinest/-1383817563,,,42 North Brewing Co.,7168057500,14052,NY,42northbrewing.com
1570 Madison Ave,"Breweries, Food & Drink",New Richmond,US,us/wi/newrichmond/1570madisonave,45.103436,-92.54965,45th Parallel Spirits,7152460565,54017,WI,
137 S Linden Ave,Brewery,S San Francisco,US,us/ca/ssanfrancisco/137slindenave,,,47 Hills Brewing Company,4152608779,94080,CA,47hillsbrewingcompany.com
4629 Yakima Ave,"Restaurants, Breweries & Brew Pubs, Pub, Bar & Grill Restaurants",Tacoma,US,us/wa/tacoma/4629yakimaave,47.21402838,-122.443448,48th Street Pub,2534733602,"98408, 98408-4947",WA,
717 W 3rd Ave,Brewery,Anchorage,US,us/ak/anchorage/717w3rdave/-1060963288,,,49th State Brewing,9072777727,99501,AK,https://www.49statebrewing.com
77 Th St,Brewers,Gresham,US,us/or/gresham/77thst,45.500504,-122.429975,4th Street Brewing (reported Closed),5036696411,97030,OR,
11517 Arcola Rd,"bar & grill restaurants, Restaurants, Breweries & Brew Pubs, hotels & motels, Hotels & Motels, breweries & brew pubs, Bar & Grills, Bed & Breakfast & Inns, Taverns, Bar & Grill Restaurants",Arcola,US,us/in/arcola/11517arcolard,39.68111,-88.31483,5 B's Inc,2606254444,"46704, 46704-1008",IN,
6398 W 74th St,Brewery,Bedford Park,US,us/il/bedfordpark/6398w74thst,,,5 Rabbit Brewery,3128959591,60638,IL,5rabbitbrewery.com
1000 Marietta St N W,"American Restaurant, Brewery",Atlanta,US,us/ga/atlanta/1000mariettastnw,33.77887534,-84.41019058,5 Seasons Brewing,4048753232,30318,GA,http://5seasons.info
5600 Roswell Rd (at The Prado),"Brewery, Pizza Place",Sandy Springs,US,us/ga/sandysprings/5600roswellrd(attheprado),33.90807025,-84.38065049,5 Seasons Brewing Co,4042555911,30342,GA,http://www.5seasonsbrewing.com/5/
3655 Old Milton Pkwy,"American Restaurant, Brewers, Brewery",Alpharetta,US,us/ga/alpharetta/3655oldmiltonpkwy,34.063801,-84.25326,"5 Seasons Brewing Llc, 5 Seasons Brewing",7705215551,30005,GA,http://5seasonsbrewing.com
1253 Hedgesville Rd,"Bars & Clubs, Home, Bars & Pubs, Breweries & Brew Pubs, Martinsburg Pubs, Restaurants & Bars, Taverns, Drinking places, Bars / Taverns, Tavern (drinking places), Eating And Drinking Places, Martinsburg,  WV, West Virginia, Bar & Grill Restaurants",Martinsburg,US,us/wv/martinsburg/1253hedgesvillerd,39.505717,-77.968626,5 Spot 2,3042642034,"25403-2266, 25403",WV,
4717 Shepherdstown Rd," nec, , Amusement and recreation, Bars & Clubs, Home, Breweries & Brew Pubs, Bars & Pubs, Taverns, Lottery operation, Amusement And Recreation Services, Martinsburg, Bar & Grill Restaurants, West Virginia",Martinsburg,US,us/wv/martinsburg/4717shepherdstownrd,39.449445,-77.875856,5 Spot 3,3042628181,"25404-0115, 25404",WV,
51 N Broadway,"Bars & Clubs, Food & Drink, Nightlife, Breweries",Lake Orion,US,us/mi/lakeorion/51nbroadway,42.785294,-83.24021,51 North Brewery,2486907367,48362,MI,
51 N Broadway St,"shop, Brewery, supply, equipment, telephone, retail",Lake Orion,US,us/mi/lakeorion/51nbroadwayst,42.785073,-83.239874,51 North Brewing Company,2486907367,48362,MI,http://www.51northbrewing.com
7700 University Ave,"Brewery, Pub",Clive,US,us/ia/clive/7700universityave/1391475254,,,515 Brewing Company,5156614615,50325,IA,http://www.515brewing.com
3801 S Truman Rd,Brewery,Washougal,US,us/wa/washougal/3801strumanrd,45.56466465,-122.3271628,"54°40' Brewing Co., 54��40' Brewing Co.",3608445932,98671,WA,54-40brewing.com
608 4th St,Brewery Downtown Clovis,Clovis,US,us/ca/clovis/6084thst/-932885010,,,559 Local Brewing,5594731875,93612,CA,fresnobrewing.com
1310 W Washington St,"Bistros, Restaurants, Breweries, Brewery",Greenville,US,us/mi/greenville/1310wwashingtonst,43.177384,-85.272923,57 Brew Pub & Bistro,6167126226,48838,MI,http://57brewpub.com
67 N Main St,"Breweries, Beer & Ale Distributors, Beer & Ale Retail",Brockport,US,us/ny/brockport/67nmainst,43.218973,-77.937638,585rochesterbeer,,14420,NY,
3901 N Williams Ave,Brewery,Portland,US,us/or/portland/3901nwilliamsave/1934085733,45.55091371,-122.6670152,5th Quadrant,5032883996,"97227, 97212",OR,http://www.lompocbrewing.com
500 Beecher St,Brewers,Louisville,US,us/ky/louisville/500beecherst/1714509421,38.191778,-85.768474,5th Street Corner Pub Iii,5023804539,40215,KY,
945 Broadway St N E,Brewery,Minneapolis,US,us/mn/minneapolis/945broadwaystne/2132595289,44.99892243,-93.24684699,612 Brew,6122170437,55413,MN,http://www.612brew.com
635 W Girard Ave,"bar & grill restaurants, breweries & brew pubs, furniture dealers, furniture bought & sold, furniture, Taverns",Philadelphia,US,us/pa/philadelphia/635wgirardave,39.970556,-75.147592,635 West Girard Inc,2157692019,"19123-1321, 19123",PA,
2257 Highway 64,"Beer & Wine Stores, Liquor Stores, Food & Dining, Beverages, Breweries, Morrilton,  AR, Shopping & Stores, Morrilton Liquor Stores",Morrilton,US,us/ar/morrilton/2257highway64,35.15428389,-92.69471638,64 E Liquor,5013544562,72110,AR,
6400 Vine St,"Philadelphia Bar, Bars & Clubs, Bars & Pubs, Restaurants, Philadelphia, Furnishings, breweries & brew pubs, recreation,  Restaurant and Cafeteria Furniture, Taverns, bar & grill restaurants, cocktail lounges, Restaurant, food and drink, Seafood,  PA, Food & Entertainment, restaurants, barbecue,  NEC, Furniture and Fixtures",Philadelphia,US,us/pa/philadelphia/6400vinest,39.96741,-75.24803,6400 Red Sea,2154727524,19139-1033,PA, pennsylvania
247 S 2nd St,"American Restaurants, Restaurant, Brew Pubs, Restaurants, Banquet Halls & Reception Facilities, Brewery, Beer & Ale, Bar & Grills",Coos Bay,US,us/or/coosbay/247s2ndst,43.36651922,-124.2151139,7 Devils Brewing Co.,"15418083738, 5418083738",97420,OR,7devilsbrewery.com
100 S 15th St,Brewery Shockoe Slip,Richmond,US,us/va/richmond/100s15thst,,,7 Hills Brewing Company,,23219,VA,
507 513 N W G Ave,"Tx"">brewery",Fabens,US,us/tx/fabens/507513nwgave,31.5106988,-106.1569035,7 Pinos,,79838,TX,
3006 Judson St,Brewery,Gig Harbor,US,us/wa/gigharbor/3006judsonst,,,7 Seas Brewing & Taproom,2535148129,98335,WA,http://www.7seasbrewing.com
1400 Lake St,"Bottlers, Beverage Manufacturers, Breweries",Northmankato,US,us/mn/northmankato/1400lakest,44.188596,-94.020494,7 Up Bottling Co of Mankato,5073454926,56003,MN,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1DttY4EUTS9U1hGFhGcwng9OtrA_ChIKSsCZjTHkfFbh1Ltby5RGofKdm_1GpNllMpBfk3W0dvEW0lFtHA01bbyaeBe8EelxoquJZstlc82ikmBDm9q7uWiqjO5hSRyzf8s0xd_qQMDNKy0VDY7oDLMLBpWNrPSPWc2XBc3BQPOEI_c4sF0u5F9mqjyFAUflZSRypprMx7dBIGf0YNvK7Na3_ENbb_rHfxOyhHf59BQ0WdCrRxUhBxv2LzNEnY9IxngUwOOogNhC9EEEkIsDyrE5RTSuSpAFDgKguizOfqalUnTqKRE-ChHjNx4BGX_sMsC0esGYtkcIG9XXGpIvpw4vGZZXOJUrZnU5vTpAHm9zeCrwGIJLWUbkCQ&placement=listing_profile.b&cs_user=unknown&cs_session=f3dacf57cb61fe32d7c80e06ca522e3e36547392
2012 S Pearl St,"Beverage Manufacturers, Bottlers, Breweries",Fresno,US,us/ca/fresno/2012spearlst/2043399090,36.722348,-119.775127,7 Up Rc Bottling Co,5594421553,93721,CA,
704 N 3rd St,"Breweries & Brew Pubs, Cafes, Restaurants, Harrisburg,  PA, Restaurants & Bars, Bars / Taverns, Harrisburg Bars and Lounges",Harrisburg,US,us/pa/harrisburg/704n3rdst/-459602473,,,704 Strawberry Cafe Inc,,17102-2053,PA,http://paprosound.com/paprosound.html
520 W 75th St,"American Restaurant, Bars & Clubs, Brew Pubs, Bars & Pubs, Restaurants, Bars Clubs, Bars Pubs, Brewery, Bar, Taverns",Kansascity,US,us/mo/kansascity/520w75thst,38.992615,-94.596036,75th Street Brewery,8165234677,64114,MO,http://www.75thstreet.com
150 N Main St,"Convenience Stores, Coffee Espresso & Tea House Restaurants, Soda Fountain Shops, Snacks & Desserts, Baked Goods Snacks And Sweets, Candy Chocolate & Confectionery, General Merchandise Stores, Variety Store Wholesale Merchandise, Cigar & Cigarettes Retail, Liquor Stores, Beer & Wine Stores, Micro-Breweries",Farmingdale,US,us/ny/farmingdale/150nmainst/267504952,,,7-eleven,5164540340,11735,NY,http://www.7-eleven.com?yext=29729
47 Washington St,Brewery,Dover,US,us/nh/dover/47washingtonst,43.19535958,-70.87258212,7th Settlement,6033731001,3820,NH,7thsettlement.com
23 Collingwood Ave,"breweries & brew pubs, cocktail lounges, restaurants, bar & grill restaurants, Breweries & Brew Pubs, Cocktail Lounges, Restaurants, Bar & Grill Restaurants",Whitehall,US,us/oh/whitehall/23collingwoodave,,,840 Lounge,6.14E+09,43213-1701,OH,
1050 N Fairway Doctor F,"Bars, Brewery and Bar, Brewery, Bar, Taverns",Avondale,US,us/az/avondale/1050nfairwaydoctorf/ste101,33.45448735,-112.3263172,8-bit Aleworks,6239251650,85323,AZ,http://www.8-bitaleworks.com
8951 De Soto Ave,Brewery,Canoga Park,US,us/ca/canogapark/8951desotoave,,,8one8 Brewing,,91304,CA,
1107 S 8th St,"Clinton Iowa, Venues, Bar, Breweries & Brew Pubs, Hotels & Motels, Bar & Grill Restaurants, Clinton,  IA, Restaurants & Bars, Bars / Taverns, Clinton Drinking Places, recreation, food and drink",Clinton,US,us/ia/clinton/1107s8thst,41.834133,-90.203961,8th St Inn,5632436200,52732,IA,
207 8th St,"Bars & Clubs, Brew Pubs, Restaurants, Nightlife, Beer & Ale, Brewery, Taverns",Hoquiam,US,us/wa/hoquiam/2078thst,46.977369,-123.8831695,8th Street Ale House,3606123455,98550,WA,mailto:james.galwaybay@gmail.com
2202 Dallas St,"Restaurant, Brewers, Brewery, Breweries, Wineries, Brewery Downtown Houston",Houston,US,us/tx/houston/2202dallasst,29.749066,-95.355792,8th Wonder Brewery,"(713) 229-0868, 7132290868",77003,TX,8thwonderbrew.com
900 Pratt St,"cocktail lounge restaurants, bar & grill restaurants, cocktail lounges, food and drink, drinking, Philadelphia, Venues, breweries & brew pubs, Bar, recreation, barbecue, Taverns",Philadelphia,US,us/pa/philadelphia/900prattst,40.030702,-75.092984,900 Anastasia Llc,2156138898,"19124-1738, 19124",PA,
1718 S Elm St,"Food & Drink, Breweries",Sherman,US,us/tx/sherman/1718selmst,33.617188,-96.60703,903 Brewers,"12142438090, [12142438090]",75090,TX,
605 S,General Entertainment Brewery District,Columbus,US,us/oh/columbus/605s/frntst/1684216160,,,97.1 The Fan,6144603850,43215,OH,971thefan.com
62 Red Bank Dr,"Bars & Clubs, Breweries, Food & Drink, Nightlife",Sicklerville,US,us/nj/sicklerville/62redbankdr/-1348351607,39.76773,-75.03597,99 Bottles Nanobrewery,8569054308,8081,NJ,
1235 Flynn Rd,Brewers,Camarillo,US,us/ca/camarillo/1235flynnrd/1079100954,34.229651,-119.019593,A & G Intl Inc,8054458400,93012,CA,
218 State St,"Limos & Limousine Service, Home, Brewer, Engineering,  Accounting,  Research,  Management,  And Related Services,  auditing,  and bookkeeping,  ME, Passenger Car Leasing, Transportation Services,  NEC, Transportation, Financial, Tax Return Preparation Services, Tax Return Preparation and Filing",Brewer,US,us/me/brewer/218statest,44.78782437,-68.75453435,A & L Limousine,2079410866,4412,ME,
